ontology	disorder_name	disease_term_id	source_file	term_id	term_label	score	direct_score	propagated_score	specificity	is_direct	best_source_term_id	best_source_term_label	best_source_path_score	best_source_path	best_path_hops	best_path_is_a_hops	best_path_develops_from_hops	best_path_part_of_hops	supporting_source_term_ids	supporting_source_term_labels	supporting_source_node_names
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0006550	L-isoleucine catabolic process	1.000000	1.000000	1.000000	0.889567	true	GO:0006550	L-isoleucine catabolic process	1.000000	self	0	0	0	0	GO:0006550	L-isoleucine catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function|Metabolic rerouting via the R-pathway of isoleucine oxidation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0006635	fatty acid beta-oxidation	0.961538	0.961538	0.961538	0.579543	true	GO:0006635	fatty acid beta-oxidation	1.000000	self	0	0	0	0	GO:0006635	fatty acid beta-oxidation	ACAD substrate promiscuity and compensatory enzymology
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0006549	isoleucine metabolic process	0.622697	0.000000	0.700000	0.889567	false	GO:0006550	L-isoleucine catabolic process	0.700000	is_a	1	1	0	0	GO:0006550	L-isoleucine catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function|Metabolic rerouting via the R-pathway of isoleucine oxidation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0009083	branched-chain amino acid catabolic process	0.545249	0.384615	0.815385	0.668702	true	GO:0006550	L-isoleucine catabolic process	0.700000	is_a	1	1	0	0	GO:0006550|GO:0009083	L-isoleucine catabolic process|branched-chain amino acid catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0042594	response to starvation	0.492308	0.492308	0.492308	0.889567	true	GO:0042594	response to starvation	1.000000	self	0	0	0	0	GO:0042594	response to starvation	Stress-sensitive metabolic decompensation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0170035	L-amino acid catabolic process	0.432576	0.000000	0.700000	0.617965	false	GO:0006550	L-isoleucine catabolic process	0.700000	is_a	1	1	0	0	GO:0006550	L-isoleucine catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function|Metabolic rerouting via the R-pathway of isoleucine oxidation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0170040	proteinogenic amino acid catabolic process	0.422872	0.000000	0.700000	0.604103	false	GO:0006550	L-isoleucine catabolic process	0.700000	is_a	1	1	0	0	GO:0006550	L-isoleucine catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function|Metabolic rerouting via the R-pathway of isoleucine oxidation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0009081	branched-chain amino acid metabolic process	0.419482	0.000000	0.627308	0.668702	false	GO:0006550	L-isoleucine catabolic process	0.490000	is_a > is_a	2	2	0	0	GO:0006550|GO:0009083	L-isoleucine catabolic process|branched-chain amino acid catabolic process	Impaired isoleucine catabolism via SBCAD loss-of-function|Metabolic rerouting via the R-pathway of isoleucine oxidation
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0019395	fatty acid oxidation	0.382679	0.000000	0.673077	0.568551	false	GO:0006635	fatty acid beta-oxidation	0.700000	is_a	1	1	0	0	GO:0006635	fatty acid beta-oxidation	ACAD substrate promiscuity and compensatory enzymology
go	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	2-Methylbutyryl-CoA_Dehydrogenase_Deficiency.yaml	GO:0009062	fatty acid catabolic process	0.369257	0.000000	0.673077	0.548610	false	GO:0006635	fatty acid beta-oxidation	0.700000	is_a	1	1	0	0	GO:0006635	fatty acid beta-oxidation	ACAD substrate promiscuity and compensatory enzymology
